Status,#,Vessel name,IMO,Departure port,Country,Commodity,Metric tons,Departure date,Inspection cleared,Income group,Flag,World Bank region,UN region,Development category
Outbound,572,SEVIL,9148518,Odesa,Türkiye,Corn,"1,966",20-Dec-2022,25-Dec-2022,lower-middle income,Vanuatu,Europe & Central Asia,Asia-Pacific,developing
Outbound +,572,SEVIL,9148518,Odesa,Türkiye,Wheat,"2,959",20-Dec-2022,25-Dec-2022,lower-middle income,Vanuatu,Europe & Central Asia,Asia-Pacific,developing
Outbound,573,FUAT BEY,9663817,Chornomorsk,China,Sunflower meal,"25,400",21-Dec-2022,26-Dec-2022,upper-middle-income,Marshall Islands,East Asia & Pacific,Asia-Pacific,developing
Outbound,574,SEA BRIDLE,9047001,Chornomorsk,Libya,Corn,"25,000",21-Dec-2022,29-Dec-2022,upper-middle-income,Belize,Middle East & North Africa,Africa,developing
Outbound,575,BLUE ONE,9585651,Yuzhny/Pivdennyi,Spain,Wheat,"30,000",22-Dec-2022,28-Dec-2022,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound,576,ENEIDA,9198381,Chornomorsk,Türkiye,Wheat,"44,848",22-Dec-2022,28-Dec-2022,upper-middle-income,Liberia,Europe & Central Asia,Asia-Pacific,developing
Outbound,577,LUCENT,9142215,Yuzhny/Pivdennyi,Türkiye,Wheat,"45,000",22-Dec-2022,2-Jan-2023,upper-middle-income,Panama,Europe & Central Asia,Asia-Pacific,developing
Outbound,578,OMICRON ATLAS,9464510,Chornomorsk,China,Corn,"65,520",22-Dec-2022,27-Dec-2022,upper-middle-income,Liberia,East Asia & Pacific,Asia-Pacific,developing
Outbound,579,TUO FU 8,9649249,Chornomorsk,China,Sunflower meal,"62,979",22-Dec-2022,1-Jan-2023,upper-middle-income,Hong Kong,East Asia & Pacific,Asia-Pacific,developing
Outbound,580,A LINE,9246920,Odesa,Israel,Wheat,"11,500",23-Dec-2022,4-Jan-2023,high-income,Vanuatu,Middle East & North Africa,Western Europe and Others,developed
Outbound,581,BRAVE M,9153496,Odesa,Libya,Corn,"17,700",23-Dec-2022,3-Jan-2023,upper-middle-income,Belize,Middle East & North Africa,Africa,developing
Outbound +,581,BRAVE M,9153496,Odesa,Libya,Barley,"9,800",23-Dec-2022,3-Jan-2023,upper-middle-income,Belize,Middle East & North Africa,Africa,developing
Outbound,582,EVOIKOS THEO,9204685,Chornomorsk,Spain,Corn,"26,500",23-Dec-2022,30-Dec-2022,high-income,Marshall Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound +,582,EVOIKOS THEO,9204685,Chornomorsk,Spain,Wheat,"38,700",23-Dec-2022,30-Dec-2022,high-income,Marshall Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound,583,ZOI XL,9326275,Yuzhny/Pivdennyi,Spain,Wheat,"71,500",23-Dec-2022,,high-income,Marshall Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound,584,ANTONIA S,9591088,Odesa,Spain,Corn,"66,500",24-Dec-2022,30-Dec-2022,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound,585,HAJE ZAINAB,8025381,Odesa,Italy,Soya beans,"8,100",24-Dec-2022,3-Jan-2023,high-income,Togo,Europe & Central Asia,Western Europe and Others,developed
Outbound,586,VALERIO,9244037,Odesa,Spain,Wheat,"26,200",24-Dec-2022,1-Jan-2023,high-income,Barbados,Europe & Central Asia,Western Europe and Others,developed
Outbound,587,AMANO T,9117832,Odesa,Egypt,Corn,"25,000",25-Dec-2022,,lower-middle income,Belize,Middle East & North Africa,Africa,developing
Outbound,588,FANEROMENI,9343857,Yuzhny/Pivdennyi,China,Corn,"71,500",25-Dec-2022,31-Dec-2022,upper-middle-income,Liberia,East Asia & Pacific,Asia-Pacific,developing
Outbound,589,GLORY,9288473,Chornomorsk,China,Corn,"65,970",25-Dec-2022,3-Jan-2023,upper-middle-income,Marshall Islands,East Asia & Pacific,Asia-Pacific,developing
Outbound,590,PHAIDRA,9661211,Yuzhny/Pivdennyi,China,Corn,"72,600",25-Dec-2022,,upper-middle-income,Marshall Islands,East Asia & Pacific,Asia-Pacific,developing
Outbound,591,PROFESSOR B,8401523,Odesa,Egypt,Soya beans,"10,997",25-Dec-2022,4-Jan-2023,lower-middle income,Comoros,Middle East & North Africa,Africa,developing
Outbound +,591,PROFESSOR B,8401523,Odesa,Egypt,Sunflower meal,"1,503",25-Dec-2022,4-Jan-2023,lower-middle income,Comoros,Middle East & North Africa,Africa,developing
